Set_Name,Theme,Pieces,Price,Pages,Minifigures,Unique_Pieces,Kjønn
Stephanie's Summer Heart Box,Friends,95.0,7.99,40.0,1.0,52.0,jente
Mia's Summer Heart Box,Friends,85.0,7.99,36.0,1.0,41.0,jente
Olivia's Summer Heart Box,Friends,93.0,7.99,40.0,2.0,48.0,jente
Emma's Mobile Veterinary Clinic ,Friends,50.0,9.99,28.0,1.0,35.0,jente
Ice Cream Cart,Friends,97.0,9.99,40.0,1.0,60.0,jente
Puppy Playground,Friends,57.0,9.99,40.0,1.0,41.0,jente
Olivia's Flower Garden,Friends,92.0,9.99,48.0,2.0,61.0,jente
Olivia's Heart Box,Friends,85.0,7.99,32.0,2.0,38.0,jente
Emma's Summer Heart Box,Friends,86.0,7.99,36.0,1.0,45.0,jente
Stephanie's Heart Box,Friends,85.0,7.99,32.0,1.0,36.0,jente
Andrea's Summer Heart Box,Friends,83.0,7.99,36.0,1.0,46.0,jente
Mia's Play Cube - Cinema,Friends,37.0,9.99,5.0,1.0,31.0,jente
Mia's Foal Stable ,Friends,118.0,19.99,64.0,1.0,66.0,jente
Anna's Canoe Expedition,LEGO Frozen 2,108.0,19.99,64.0,2.0,61.0,jente
Anna and Elsa's Storybook Adventures,LEGO Frozen 2,133.0,19.99,3.0,4.0,71.0,jente
Poppy's Pod,Trolls World Tour,103.0,19.99,68.0,1.0,70.0,jente
Techno Reef Dance Party,Trolls World Tour,173.0,19.99,72.0,1.0,85.0,jente
Emma's Play Cube - Toy Store,Friends,49.0,9.99,5.0,1.0,42.0,jente
Andrea's Heart Box,Friends,84.0,7.99,32.0,1.0,38.0,jente
Emma's Heart Box,Friends,85.0,7.99,32.0,1.0,38.0,jente
Olivia's Play Cube - Researcher,Friends,40.0,9.99,5.0,1.0,34.0,jente
Mia's Play Cube - Veterinarian,Friends,40.0,9.99,5.0,1.0,32.0,jente
Emma's Play Cube - Photographer,Friends,36.0,9.99,5.0,1.0,31.0,jente
Andrea's Car & Stage,Friends,240.0,19.99,68.0,2.0,116.0,jente
Juice Truck,Friends,103.0,19.99,52.0,2.0,75.0,jente
Heartlake City Hair Salon,Friends,235.0,19.99,84.0,2.0,138.0,jente
Stephanie's Play Cube - Baker,Friends,44.0,9.99,5.0,1.0,37.0,jente
Mia's Heart Box,Friends,83.0,7.99,32.0,1.0,38.0,jente
Olivia's Play Cube - Sweet Shop,Friends,47.0,9.99,5.0,1.0,40.0,jente
Andrea's Play Cube - Singer,Friends,49.0,9.99,5.0,1.0,32.0,jente
Mia's Forest Adventures ,Friends,134.0,14.99,44.0,1.0,77.0,jente
Andrea's Play Cube - Pet Shop,Friends,40.0,9.99,5.0,1.0,33.0,jente
Bubbles Playground Showdown,Powerpuff Girls,144.0,19.99,48.0,3.0,92.0,jente
Olivia's Hamster Playground,Friends,81.0,9.99,40.0,1.0,52.0,jente
Heartlake City Park Cafï¿½,Friends,224.0,19.99,72.0,2.0,117.0,jente
Baby Elephant Jungle Rescue,Friends,203.0,19.99,68.0,2.0,111.0,jente
Elsa and the Reindeer Carriage,LEGO Frozen 2,116.0,29.99,72.0,1.0,78.0,jente
Lonesome Flats Raft Adventure,Trolls World Tour,159.0,29.99,100.0,3.0,110.0,jente
Underwater Loop,Friends,389.0,29.99,76.0,2.0,165.0,jente
Mia's Organic Food Market,Friends,115.0,19.99,56.0,1.0,70.0,jente
Poppy's Air Balloon Adventure,Trolls World Tour,250.0,29.99,68.0,3.0,121.0,jente
Nature Glamping,Friends,241.0,29.99,72.0,2.0,110.0,jente
Olivia's Cupcake Cafe,Friends,335.0,29.99,100.0,2.0,185.0,jente
Service & Care Truck,Friends,247.0,19.99,84.0,1.0,123.0,jente
Heart Box Friendship Pack,Friends,199.0,19.99,60.0,2.0,90.0,jente
Stephanie's Bedroom,Friends,95.0,9.99,44.0,1.0,72.0,jente
Emma's Fashion Shop,Friends,343.0,29.99,112.0,2.0,152.0,jente
Panda Jungle Tree House,Friends,265.0,29.99,120.0,2.0,149.0,jente
Turtles Rescue Mission,Friends,225.0,19.99,72.0,2.0,125.0,jente
Dolphins Rescue Mission,Friends,363.0,39.99,116.0,2.0,192.0,jente
Elsa's Jewellery Box,LEGO Frozen 2,300.0,39.99,96.0,1.0,89.0,jente
Volcano Rock City Concert,Trolls World Tour,387.0,39.99,120.0,3.0,175.0,jente
Stephanie's Buggy & Trailer ,Friends,166.0,19.99,48.0,1.0,97.0,jente
Heartlake City Supermarket,Friends,140.0,29.99,68.0,2.0,90.0,jente
Mia's Horse Trailer,Friends,216.0,29.99,76.0,2.0,119.0,jente
Andrea's Bedroom,Friends,85.0,9.99,44.0,1.0,60.0,jente
Stephanie's Obstacle Course,Friends,337.0,39.99,100.0,2.0,168.0,jente
Baking Competition,Friends,361.0,39.99,104.0,3.0,157.0,jente
Friends Advent Calendar,Friends,330.0,29.99,2.0,3.0,158.0,jente
Mojo Jojo Strikes,Powerpuff Girls,228.0,29.99,76.0,4.0,149.0,jente
Mia's Bedroom,Friends,86.0,9.99,48.0,1.0,63.0,jente
Creative Tuning Shop,Friends,413.0,39.99,108.0,2.0,217.0,jente
Tiger Hot Air Balloon Jungle Rescue,Friends,302.0,39.99,116.0,2.0,145.0,jente
Stephanie's Gymnastics Show,Friends,241.0,29.99,76.0,2.0,114.0,jente
Enchanted Tree House,LEGO Frozen 2,302.0,49.99,120.0,3.0,174.0,jente
Pop Village Celebration,Trolls World Tour,380.0,49.99,120.0,5.0,205.0,jente
Andrea's Pool Party,Friends,468.0,49.99,112.0,2.0,221.0,jente
Stephanie's Soccer Practice,Friends,119.0,14.99,48.0,1.0,78.0,jente
Emma's Art Stand,Friends,210.0,19.99,60.0,1.0,107.0,jente
Andrea's Park Performance,Friends,229.0,24.99,80.0,3.0,126.0,jente
Olivia's Deluxe Bedroom,Friends,163.0,14.99,60.0,1.0,100.0,jente
Olivia's Mission Vehicle,Friends,223.0,19.99,84.0,1.0,106.0,jente
Drifting Diner,Friends,345.0,29.99,92.0,2.0,182.0,jente
Lighthouse Rescue Centre,Friends,602.0,59.99,180.0,2.0,273.0,jente
Heartlake City Restaurant,Friends,624.0,59.99,140.0,3.0,201.0,jente
Andrea's Accessories Store,Friends,294.0,29.99,84.0,2.0,128.0,jente
Heartlake City Hospital,Friends,379.0,49.99,132.0,3.0,154.0,jente
Emma's Deluxe Bedroom,Friends,183.0,14.99,68.0,1.0,105.0,jente
Stephanie's Lakeside House,Friends,215.0,34.99,112.0,3.0,142.0,jente
Beach House,Friends,444.0,49.99,160.0,2.0,216.0,jente
Mia's Tree House,Friends,351.0,29.99,120.0,2.0,151.0,jente
Andrea's Talent Show,Friends,492.0,49.99,124.0,2.0,184.0,jente
Emma's Art Studio,Friends,235.0,24.99,60.0,2.0,122.0,jente
The Big Race Day,Friends,648.0,59.99,144.0,3.0,252.0,jente
Mia's House,Friends,715.0,69.99,192.0,3.0,274.0,jente
Elsa's Ice Palace,LEGO Frozen 2,701.0,79.99,180.0,4.0,234.0,jente
Arendelle Castle,LEGO Frozen 2,521.0,79.99,192.0,3.0,231.0,jente
Stephanie's Sports Arena,Friends,460.0,44.99,108.0,2.0,188.0,jente
Friendship Bus,Friends,778.0,69.99,236.0,3.0,286.0,jente
Jungle Rescue Base,Friends,648.0,79.99,176.0,3.0,251.0,jente
Party Boat,Friends,640.0,79.99,184.0,3.0,270.0,jente
Rescue Mission Boat,Friends,908.0,89.99,216.0,4.0,376.0,jente
Emma's Art Cafï¿½,Friends,378.0,32.99,112.0,2.0,166.0,jente
Summer Fun Water Park,Friends,1001.0,99.99,316.0,4.0,394.0,jente
Heartlake City Amusement Pier,Friends,1251.0,129.99,316.0,7.0,433.0,jente
Mia's Camper Van,Friends,488.0,54.99,116.0,2.0,222.0,jente
Heartlake City Pet Centre,Friends,474.0,59.99,108.0,3.0,234.0,jente
Friendship House,Friends,722.0,69.99,164.0,3.0,309.0,jente
Heartlake City Resort,Friends,1017.0,99.99,208.0,4.0,326.0,jente
Olivia's Remote Control Boat,Friends,25.0,3.99,3.0,1.0,23.0,jente
Poppy's Carriage,Trolls World Tour,51.0,4.99,3.0,1.0,30.0,jente
Stephanie's Play Cube - Beauty Salon,Friends,44.0,9.99,5.0,1.0,35.0,jente
Andrea's Jungle Play Cube,Friends,47.0,9.99,5.0,1.0,43.0,jente
Stephanie's Jungle Play Cube,Friends,41.0,9.99,5.0,1.0,38.0,jente
Emma's Pet Party,Friends,67.0,9.99,36.0,1.0,50.0,jente
Funny Octopus Ride,Friends,324.0,39.99,76.0,2.0,145.0,jente
Stephanie's House,Friends,170.0,39.99,92.0,3.0,116.0,jente
Spinning Brushes Car Wash,Friends,325.0,29.99,108.0,2.0,174.0,jente
Rainbow Caterbus,Trolls World Tour,395.0,39.99,132.0,5.0,170.0,jente
Alpaca Mountain Jungle Rescue,Friends,512.0,59.99,208.0,2.0,270.0,jente
Heartlake City Brick Box,Friends,321.0,39.99,220.0,2.0,121.0,jente
